RegionID,Provincia,Canton,Latitud,Longitud
1,GUANACASTE,SANTA CRUZ,10.2357596,-85.6407774
2,PUNTARENAS,GARABITO,9.7072525,-84.6147906
3,PUNTARENAS,CORREDORES,8.5380105,-82.9457347
4,SAN JOSE,MONTES DE OCA,9.940046,-84.0110652
5,SAN JOSE,SAN JOSE,9.9359564,-84.1134162
6,ALAJUELA,ALAJUELA,10.163979,-84.2645463
7,GUANACASTE,BAGACES,10.515659,-85.2477995
8,HEREDIA,SARAPIQUI,10.4853128,-83.9362
9,SAN JOSE,MORA,9.8724731,-84.2801252
10,GUANACASTE,CARRILLO,10.4819401,-85.5973075
11,SAN JOSE,GOICOECHEA,9.9560222,-83.984858
12,LIMON,POCOCI,10.5008914,-83.6446083
13,SAN JOSE,ALAJUELITA,9.8890038,-84.1151684
14,ALAJUELA,SAN RAMON,10.2182301,-84.5992384
15,HEREDIA,HEREDIA,10.1289028,-84.0419806
16,SAN JOSE,CURRIDABAT,9.9163367,-84.0282798
17,GUANACASTE,LIBERIA,10.6916272,-85.4956835
18,PUNTARENAS,PUNTARENAS,10.032,-84.82
19,LIMON,MATINA,10.0099048,-83.3096247
20,ALAJUELA,SAN CARLOS,10.6203924,-84.512
21,PUNTARENAS,PARRITA,9.5471005,-84.3464358
22,CARTAGO,CARTAGO,9.7889852,-83.9261136
23,LIMON,LIMON,9.7750689,-83.2014154
24,HEREDIA,SANTO DOMINGO,9.9880112,-84.0685928
25,LIMON,TALAMANCA,9.4186631,-83.0200471
26,LIMON,SIQUIRRES,10.1515146,-83.4957515
27,PUNTARENAS,GOLFITO,8.4253364,-83.2679155
28,HEREDIA,SAN PABLO,9.9917559,-84.0936586
29,CARTAGO,LA UNION,9.9135636,-83.9944093
30,SAN JOSE,ESCAZU,9.9167075,-84.1532395
31,SAN JOSE,VASQUEZ DE CORONADO,10.0759249,-83.948042
32,SAN JOSE,DESAMPARADOS,9.8114083,-84.0289552
33,CARTAGO,PARAISO,9.7294954,-83.7706033
34,ALAJUELA,POAS,10.1060104,-84.2475285
35,SAN JOSE,PURISCAL,9.7330278,-84.3726231
36,HEREDIA,SAN RAFAEL,10.04167,-84.075
37,LIMON,GUACIMO,10.2024994,-83.6223033
38,PUNTARENAS,COTO BRUS,8.8889753,-82.9092434
39,ALAJUELA,ZARCERO,10.2188363,-84.4163283
40,PUNTARENAS,QUEPOS,9.412973,-84.0467398
41,SAN JOSE,TIBAS,9.9574805,-84.0810853
42,SAN JOSE,PEREZ ZELEDON,9.3392039,-83.7152394
43,PUNTARENAS,ESPARZA,9.9958661,-84.646745
44,SAN JOSE,LEON CORTES,9.6944066,-84.062347
45,CARTAGO,TURRIALBA,9.7809951,-83.5686741
46,SAN JOSE,MORAVIA,10.0087693,-84.0215787
47,ALAJUELA,PALMARES,10.0465715,-84.4372672
48,HEREDIA,SANTA BARBARA,10.0819939,-84.1473773
49,GUANACASTE,CANAS,10.4457066,-85.0991768
50,SAN JOSE,DESCONOCIDO,9.93,-84.04
51,SAN JOSE,ASERRI,9.7483631,-84.1423846
52,HEREDIA,BARVA,10.0763757,-84.115545
53,SAN JOSE,DOTA,9.5847517,-83.8736707
54,ALAJUELA,UPALA,10.8684512,-85.1637293
55,GUANACASTE,NICOYA,10.102409,-85.4430903
56,SAN JOSE,SANTA ANA,9.9184253,-84.1957531
57,CARTAGO,EL GUARCO,9.7310041,-83.9083096
58,SAN JOSE,ACOSTA,9.7415933,-84.2366847
59,ALAJUELA,GRECIA,10.0927177,-84.2961924
60,PUNTARENAS,OSA,8.8913368,-83.5286361
61,CARTAGO,JIMENEZ,9.819549,-83.6993734
62,ALAJUELA,GUATUSO,10.7031011,-84.8297361
63,PUNTARENAS,BUENOS AIRES,9.0824408,-83.2617871
64,HEREDIA,BELEN,9.9854406,-84.1768586
65,SAN JOSE,TARRAZU,9.5830753,-84.064823
66,CARTAGO,OREAMUNO,9.9972861,-83.8769838
67,CARTAGO,DESCONOCIDO,9.863,-84.82
68,HEREDIA,FLORES,10.0058345,-84.1538838
69,ALAJUELA,OROTINA,9.8926261,-84.5757166
70,GUANACASTE,TILARAN,10.4896428,-84.9065083
71,ALAJUELA,ATENAS,9.9794864,-84.4049451
72,ALAJUELA,LOS CHILES,10.8591282,-84.673707
73,GUANACASTE,LA CRUZ,11.0088867,-85.6045426
74,GUANACASTE,ABANGARES,10.249165,-85.0268119
75,ALAJUELA,SAN MATEO,9.9605539,-84.560288
76,SAN JOSE,TURRUBARES,9.7474683,-84.4975157
77,ALAJUELA,SARCHI,10.1626074,-84.2926371
78,CARTAGO,ALVARADO,9.9432302,-83.8009515
79,HEREDIA,SAN ISIDRO,10.0298852,-84.0431476
80,ALAJUELA,NARANJO,10.1052938,-84.3885279
81,GUANACASTE,HOJANCHA,9.9752817,-85.4095116
82,ALAJUELA,RIO CUARTO,10.407618,-84.2134503
83,LIMON,DESCONOCIDO,9.97,-83.06
84,GUANACASTE,NANDAYURE,9.9014254,-85.3036154
85,HEREDIA,DESCONOCIDO,9.99,-84.11
86,PUNTARENAS,MONTES DE ORO,10.1469106,-84.733311
87,ALAJUELA,DESCONOCIDO,10.01,-84.21
88,GUANACASTE,DESCONOCIDO,10.39,-85.48
89,PUNTARENAS,DESCONOCIDO,10.0324,-84.82
90,DESCONOCIDO,DESCONOCIDO,10.503172,-82.441304
